episode,reward,return,sharpe,max_drawdown,num_trades
1,289.3561404839312,0.2848885711107283,1.1473702582145973,0.209637569744675,179
2,239.65873148516022,0.34859555098492273,1.3144687731612914,0.22843592198374285,170
3,217.00767060083976,0.15933655952438694,0.7982582640811843,0.17790697869925903,184
4,118.41973315833188,0.18715909232835928,0.8627711456571157,0.2504706401800495,162
5,224.63560098286854,0.2562681769002571,1.070164520370307,0.1970137435104191,175
6,71.24827588972349,0.12115566425060824,0.6069794120623252,0.25648223672923104,164
7,172.798906751166,0.24007160771211603,1.0796530957804842,0.13772125210612526,189
8,171.33507105813047,0.18257078922209166,0.9305987056387708,0.18154664058954065,175
9,-34.52578034703117,0.12727292285204383,0.7413747885309366,0.11849732619245518,188
10,-113.68175294325924,-0.012678564987074606,0.05654255962224419,0.20172462845438535,174
